Crossover Probability (p),Empirical BER,P_e Lexicographic,P_e Anti-Lexicographic,P_e Coin-Flip
0.001,0.00003000,0.00000699,0.00000699,0.00000699
0.002,0.00001000,0.00002790,0.00002794,0.00002794
0.003,0.00004000,0.00006268,0.00006278,0.00006278
0.004,0.00011000,0.00011123,0.00011148,0.00011148
0.005,0.00002000,0.00017349,0.00017398,0.00017398
0.006,0.00013000,0.00024939,0.00025023,0.00025023
0.007,0.00006000,0.00033886,0.00034019,0.00034018
0.008,0.00012000,0.00044181,0.00044379,0.00044378
0.009,0.00009000,0.00055818,0.00056098,0.00056097
0.010,0.00007000,0.00068789,0.00069172,0.00069170
0.011,0.00030000,0.00083087,0.00083594,0.00083591
0.012,0.00023000,0.00098705,0.00099359,0.00099355
0.013,0.00036000,0.00115634,0.00116462,0.00116456
0.014,0.00044000,0.00133867,0.00134897,0.00134889
0.015,0.00030000,0.00153398,0.00154658,0.00154648
0.016,0.00030000,0.00174218,0.00175740,0.00175727
0.017,0.00060000,0.00196319,0.00198137,0.00198120
0.018,0.00061000,0.00219695,0.00221842,0.00221821
0.019,0.00071000,0.00244337,0.00246851,0.00246825
0.020,0.00098000,0.00270239,0.00273157,0.00273125
0.021,0.00096000,0.00297392,0.00300754,0.00300715
0.022,0.00097000,0.00325788,0.00329636,0.00329589
0.023,0.00132000,0.00355421,0.00359797,0.00359741
0.024,0.00111000,0.00386283,0.00391230,0.00391165
0.025,0.00145000,0.00418365,0.00423931,0.00423853
0.026,0.00150000,0.00451661,0.00457891,0.00457801
0.027,0.00143000,0.00486162,0.00493106,0.00493001
0.028,0.00180000,0.00521861,0.00529568,0.00529447
0.029,0.00172000,0.00558750,0.00567271,0.00567132
0.030,0.00230000,0.00596821,0.00606209,0.00606050
0.031,0.00220000,0.00636067,0.00646376,0.00646194
0.032,0.00265000,0.00676480,0.00687764,0.00687558
0.033,0.00316000,0.00718052,0.00730367,0.00730134
0.034,0.00301000,0.00760775,0.00774178,0.00773917
0.035,0.00318000,0.00804642,0.00819191,0.00818898
0.036,0.00350000,0.00849644,0.00865400,0.00865072
0.037,0.00393000,0.00895775,0.00912796,0.00912431
0.038,0.00364000,0.00943025,0.00961374,0.00960968
0.039,0.00420000,0.00991388,0.01011126,0.01010676
0.040,0.00431000,0.01040856,0.01062047,0.01061549
0.041,0.00491000,0.01091421,0.01114128,0.01113579
0.042,0.00492000,0.01143074,0.01167362,0.01166760
0.043,0.00608000,0.01195809,0.01221744,0.01221083
0.044,0.00643000,0.01249616,0.01277265,0.01276541
0.045,0.00730000,0.01304490,0.01333919,0.01333128
0.046,0.00629000,0.01360421,0.01391699,0.01390837
0.047,0.00701000,0.01417402,0.01450597,0.01449659
0.048,0.00869000,0.01475424,0.01510606,0.01509587
0.049,0.00860000,0.01534481,0.01571719,0.01570615
0.050,0.00890000,0.01594564,0.01633930,0.01632734
0.051,0.01050000,0.01655666,0.01697229,0.01695938
0.052,0.00944000,0.01717778,0.01761611,0.01760218
0.053,0.01153000,0.01780893,0.01827068,0.01825567
0.054,0.01214000,0.01845004,0.01893593,0.01891978
0.055,0.01177000,0.01910101,0.01961178,0.01959443
0.056,0.01176000,0.01976177,0.02029815,0.02027955
0.057,0.01312000,0.02043225,0.02099498,0.02097505
0.058,0.01252000,0.02111237,0.02170219,0.02168087
0.059,0.01395000,0.02180204,0.02241970,0.02239691
0.060,0.01583000,0.02250120,0.02314745,0.02312312
0.061,0.01537000,0.02320975,0.02388534,0.02385941
0.062,0.01777000,0.02392763,0.02463332,0.02460570
