"Run info: n=2, m=2, gens=['7', '5'], p=0.3, L=300000, mode=all-zero"
,"(0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 1, 0)","(0, 1, 0, 0)","(0, 1, 0, 1)","(0, 1, 0, 2)","(0, 1, 1, 1)","(0, 1, 2, 1)","(0, 2, 0, 1)","(0, 2, 1, 2)","(0, 2, 2, 2)","(0, 3, 2, 3)","(1, 0, 0, 0)","(1, 0, 1, 0)","(1, 0, 1, 1)","(1, 0, 1, 2)","(1, 0, 2, 0)","(1, 1, 0, 1)","(1, 1, 1, 0)","(1, 2, 0, 2)","(1, 2, 1, 0)","(2, 0, 1, 0)","(2, 0, 2, 1)","(2, 0, 2, 2)","(2, 1, 0, 1)","(2, 1, 2, 0)","(2, 2, 0, 2)","(2, 2, 2, 0)","(2, 3, 0, 3)","(3, 0, 3, 2)","(3, 2, 3, 0)"
"(0, 0, 0, 0)",0,0,0,0,p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,2*p*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0, 0, 1)",0,0,0,0,p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,0,p*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0, 1, 0)",0,0,0,0,p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,0,p*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1, 0, 0)",0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,2*p*(1 - p),0,0,0,p**2,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1, 0, 1)",0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,p*(1 - p),0,0,p**2,p*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1, 0, 2)",0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,p*(1 - p),0,p**2,0,0,p*(1 - p),0,0,0,0,0,0,0,0,0,0
"(0, 1, 1, 1)",2*p*(1 - p),0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,0,0
"(0, 1, 2, 1)",0,p*(1 - p),0,p*(1 - p),0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,0,0
"(0, 2, 0, 1)",0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,p*(1 - p),0,0,0,p*(1 - p),0,0,0,0,0,p**2,0,0,0,0,0,0
"(0, 2, 1, 2)",0,p*(1 - p),0,p*(1 - p),0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p**2,0,0,0,0
"(0, 2, 2, 2)",0,0,0,0,2*p*(1 - p),0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p**2,0,0
"(0, 3, 2, 3)",0,0,0,0,0,p*(1 - p),0,0,p*(1 - p),0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p**2,0,0
"(1, 0, 0, 0)",0,0,0,0,0,0,p**2,0,0,0,0,0,0,2*p*(1 - p),0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 0, 1, 0)",0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,p*(1 - p),0,0,(1 - p)**2,p*(1 - p),0,0,0,0,0,0,0,0,0,0,0,0
"(1, 0, 1, 1)",2*p*(1 - p),0,0,0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,0
"(1, 0, 1, 2)",0,p*(1 - p),0,p*(1 - p),0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,0
"(1, 0, 2, 0)",0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,p*(1 - p),0,(1 - p)**2,0,0,p*(1 - p),0,0,0,0,0,0,0,0,0,0
"(1, 1, 0, 1)",p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,p*(1 - p),0,0,0,0,0
"(1, 1, 1, 0)",p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,p*(1 - p),0,0,0,0,0
"(1, 2, 0, 2)",0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,0,p*(1 - p),0,0,0
"(1, 2, 1, 0)",0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,p*(1 - p),0,0,0,0,0
"(2, 0, 1, 0)",0,0,0,0,0,0,0,p**2,0,0,0,0,0,0,p*(1 - p),0,0,0,p*(1 - p),0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0
"(2, 0, 2, 1)",0,p*(1 - p),0,p*(1 - p),0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0
"(2, 0, 2, 2)",0,0,0,0,2*p*(1 - p),0,0,0,0,0,0,p**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0
"(2, 1, 0, 1)",0,0,p**2,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,p*(1 - p),0,0,0,0,0
"(2, 1, 2, 0)",0,0,p**2,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,0,0,0,p*(1 - p),0,0,0,p*(1 - p),0,0,0
"(2, 2, 0, 2)",0,0,0,0,0,0,0,0,0,0,0,0,0,p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p*(1 - p),p*(1 - p)
"(2, 2, 2, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0,p**2 + (1 - p)**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p*(1 - p),p*(1 - p)
"(2, 3, 0, 3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0,0,0,p**2,0,0,0,0,0,0,0,p*(1 - p),p*(1 - p)
"(3, 0, 3, 2)",0,0,0,0,0,p*(1 - p),0,0,p*(1 - p),0,0,p**2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1 - p)**2,0,0
"(3, 2, 3, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p**2,0,0,0,0,(1 - p)**2,0,0,0,0,0,0,0,p*(1 - p),p*(1 - p)

